Correlation: 0.13353297631000666, P-value: 0.0031523645579715257

MAE: 0.08429215021229156, MSE: 0.01133288816531259

                                                                                            name  value_for_money
                                                                                      Ritz Paris         0.003531
                                                               Four Seasons Hotel George V Paris         0.003892
                                                                      The Westin Paris - Vendome         0.014801
                                                                       Pullman Paris Tour Eiffel         0.019134
                                                     Hotel Plaza Athenee - Dorchester Collection         0.005166
                                                                             Hotel Regina Louvre         0.010832
                                                                               The Hoxton, Paris         0.015299
                                                                                Relais Christine         0.019672
                                                                      Pullman Paris Montparnasse         0.029054
                                                                                Hotel De Crillon         0.003916
                                                              Le Meurice - Dorchester Collection         0.005354
                                                                                  Hotel West-End         0.019178
                                                                   Le Pavillon De La Reine & Spa         0.010153
                                                                     Grand Hotel Du Palais Royal         0.043979
                                                                        Novotel Paris Les Halles         0.029553
                                                                      Hyatt Regency Paris Etoile         0.023118
                                                                              Grand Powers Hotel         0.009255
                                                                              Le Meridien Etoile         0.031461
                                                                         Hotel Du Collectionneur         0.012000
                                                                                         L'Hotel         0.017427
                                                   Intercontinental Paris Le Grand, An Ihg Hotel         0.027152
                                             Hotel Du Louvre, In The Unbound Collection By Hyatt         0.013659
                                                                                   Hotel Lutetia         0.004390
                                                                                 Hotel San Regis         0.008203
                                                                               Hotel La Comtesse         0.046328
                                                               Hotel Brighton - Esprit De France         0.020339
                                                                                   Hotel Bel Ami         0.026582
                                                                          Hotel Pont Royal Paris         0.021080
                                                                           Hyatt Paris Madeleine         0.015027
                                                                Mercure Paris Centre Tour Eiffel         0.040976
                                                                                Hotel D'Aubusson         0.020525
                                                                       Sofitel Paris Le Faubourg         0.007225
                                                                   Sofitel Le Scribe Paris Opera         0.014973
                                                                  Hotel Le Walt By Inwood Hotels         0.054305
                                                                        Mandarin Oriental, Paris         0.005388
                                                                Novotel Paris Centre Tour Eiffel         0.043077
                                                                                   Hotel Raphael         0.012883
                                                                                      Cler Hotel         0.020192
                                                                                   Hotel Madison         0.037500
                                                             Paris Marriott Champs Elysees Hotel         0.010832
                                                                           Hotel Duquesne Eiffel         0.046667
                                                          Castille Paris - Starhotels Collezione         0.016872
                                                                            Hotel Napoleon Paris         0.013376
                                                     Crowne Plaza Paris Republique, An Ihg Hotel         0.062222
                                                                                   Elysees Union         0.043850
                                                                               Le Narcisse Blanc         0.009297
                                                                           Les Jardins Du Marais         0.024852
                                                                                 Splendid Etoile         0.020192
                                                                               Hotel De L'Abbaye         0.028289
                                                                           Victoria Palace Hotel         0.019490
